Role Ref,Role Title,Employee First Name,Employee Surname,Employee Full Name,Employee Adelphi Number,Employee Email,Grade Equivalent,Function,Business Unit,Team,Profession Cluster,DDaT Profession Role,Affiliated DdaT Profession Role,Current Resource Roll Up,Function Roll Up,Employee Current Primary Location,Employee Anticipated Future Location ,EU Exit?,Is this role a vacancy?,Vacancy type,Vacancy stage,Recharged Roles,Operational Line Manager First Name,Operational Line Manager Surname,Operational Line Manager Role Reference,Current Resource Type,Target Resource Type,Projected Start Date of Role,Projected End Date of terminating Role,FTE,DDaT or Non-DDaT Resource
CTF159,Developer,Mike,Adams,Mike Adams,123458,foo456@bar.gov.uk,HEO,Police and Public Protection Technology,Operations,Software Engineering Group,Technical,Software Developer,Engineering,Contractor,Function2,Liverpool,Glasgow,Yes,No,,,,Joyce,Parker,Foo11,Contractor,Civil Servant,01/10/19,01/03/21,0.5,DdaT  
CTF176,Head of IT,Audrey,Adams,Audrey Adams,123460,foo457 @bar.gov.uk,HEO,Police and Public Protection Technology,Policy,Software Engineering Group,Technical,Hardware Guru,Hardware Eng,Contractor,Function1,Liverpool,Glasgow,Yes,No,,,,Belinda,Jones,Foo10,Contractor,Civil Servant,01/10/19,01/03/21,1,DdaT  
CTF172,Senior Developer,Kate,Barnes,Kate Barnes,654324,foo458 @bar.gov.uk,EO,"ES Transition, Integration and Support",Policy,Service Management,Technical,Software Developer,Engineering,Contractor,Function3,Liverpool,Glasgow,Yes,No,,,,Lana,Morgan,Foo1,Civil Servant,Civil Servant,01/07/19,01/03/21,0.5,DdaT  
CTF163,Senior Developer,Tony,Chapman,Tony Chapman,123462,foo459 @bar.gov.uk,EO,Police and Public Protection Technology,Architecture,Service Management,Engineering,Hardware Guru,Hardware Eng,Contractor,Function4,London,Glasgow,Yes,No,,,,Maximilian,Richardson,Foo2,Contractor,Civil Servant,01/07/19,01/03/21,0.5,Non-DdaT
CTF165,Senior Developer,Nicole,Cooper,Nicole Cooper,123464,foo460 @bar.gov.uk,EO,Borders IT - DSAB,Operations,Service Management,Engineering,Hardware Guru,Hardware Eng,Contractor,Function5,London,Glasgow,Yes,No,,,,Camila,Kelley,Foo3,Contractor,Contractor,01/07/19,01/03/21,1,DdaT  
CTF167,Senior Developer,Nicole,Evans,Nicole Evans,123466,foo461 @bar.gov.uk,HEO,Enablers Portfolio,Operations,DevOps,Engineering,Hardware Guru,Hardware Eng,Contractor,Function6,London,Glasgow,No,No,,,,Ada,Payne,Foo12,Contractor,Civil Servant,01/10/19,01/03/21,1,DdaT  
CTF168,Senior Developer,Tara,Grant,Tara Grant,123467,foo462 @bar.gov.uk,Grade 7,Borders IT - DSAB,Architecture,DevOps,Engineering,Software Developer,Engineering,Contractor,Function7,London,Glasgow,No,No,,,,Florrie,Davis,Foo13,Civil Servant,Civil Servant,01/10/19,01/03/21,1,Non-DdaT
CTF158,Developer,Sofia,Gray,Sofia Gray,123457,foo463 @bar.gov.uk,HEO,ES Service Management,Architecture,DevOps,Technical,Software Developer,Engineering,Civil Servant,Function9,Liverpool,Cardiff,No,No,,,,Alen,Johnston,Foo14,Civil Servant,Civil Servant,01/10/19,01/03/21,1,DdaT  
CTF173,Head of IT,Sarah,Gray,Sarah Gray,654325,foo464 @bar.gov.uk,EO,Immigration Technology Portfolio,Architecture,DevOps,Technical,Software Developer,Engineering,Civil Servant,Function8,London,Glasgow,No,No,,,,Alfred,Mason,Foo4,Civil Servant,Civil Servant,01/07/19,01/03/21,1,DdaT  
CTF170,Senior Developer,Edgar,Harper,Edgar Harper,654322,foo465 @bar.gov.uk,EO,Enablers Portfolio,Policy,DevOps,Technical,Software Developer,Engineering,Civil Servant,Function1,Liverpool,Cardiff,No,No,,,,Julia,Thompson,Foo5,Civil Servant,Civil Servant,01/07/19,01/03/21,0.5,DdaT  
CTF164,Senior Developer,Charlotte,Higgins,Charlotte Higgins,123463,foo466 @bar.gov.uk,EO,Law Enforcement Portfolio,Policy,Legal,Technical,Hardware Guru,Hardware Eng,Civil Servant,Function2,Liverpool,Cardiff,No,No,,,,Julia,Alexander,Foo6,Contractor,Contractor,01/07/19,01/03/21,0.5,DdaT  
CTF171,Senior Developer,Reid,Holmes,Reid Holmes,654323,foo467 @bar.gov.uk,HEO,Immigration Technology Portfolio,Architecture,Service Management,Technical,Software Developer,Engineering,Civil Servant,Function3,Liverpool,Cardiff,No,No,,,,William,Bailey,Foo15,Civil Servant,Civil Servant,01/10/19,01/03/21,1,DdaT  
CTF166,Senior Developer,Lyndon,Martin,Lyndon Martin,123465,foo468 @bar.gov.uk,HEO,Law Enforcement Portfolio,Operations,Service Management,Technical,Hardware Guru,Hardware Eng,Civil Servant,Function4,Liverpool,Cardiff,No,No,,,,Sienna,Lloyd,Foo16,Contractor,Civil Servant,01/10/19,01/03/21,1,DdaT  
CTF174,Head of IT,Kelsey,Miller,Kelsey Miller,654326,foo469 @bar.gov.uk,HEO,Borders IT - DSAB,Operations,Service Management,Engineering,Software Developer,Engineering,Civil Servant,Function5,Liverpool,Cardiff,No,No,,,,Luke,Kelley,Foo17,Civil Servant,Civil Servant,01/10/19,01/03/21,0.5,DdaT  
CTF161,Developer,Florrie,Nelson,Florrie Nelson,123460,foo470 @bar.gov.uk,Grade 7,"ES Transition, Integration and Support",Policy,Technical Support Service,Engineering,Hardware Guru,Hardware Eng,Civil Servant,Function6,Sheffield,Cardiff,No,No,,,,Honey,Miller,Foo7,Contractor,Civil Servant,01/07/19,01/03/21,0.5,DdaT  
CTF162,Developer,Myra,Reed,Myra Reed,123461,foo471 @bar.gov.uk,HEO,ES Service Management,Operations,Service Management,Engineering,Hardware Guru,Hardware Eng,Civil Servant,Function7,Liverpool,Cardiff,No,No,,,,Ashton,Brown,Foo18,Contractor,Civil Servant,01/02/20,01/03/21,1,DdaT  
CTF157,Developer,Nicholas,Reid,Nicholas Reid,123456,foo472 @bar.gov.uk,SEO,Immigration Technology Portfolio,Operations,Operations,Technical,Software Developer,Engineering,Civil Servant,Function8,Sheffield,Cardiff,No,Yes,Type1,2,No,Charlotte,Higgins,Foo20,Civil Servant,Civil Servant,01/02/20,01/03/21,1,DdaT  
CTF175,Head of IT,Daryl,Richards,Daryl Richards,654327,foo473 @bar.gov.uk,EO,Borders IT - DSAB,Policy,Service Management,Technical,Software Developer,Engineering,Civil Servant,Function9,Liverpool,Cardiff,No,No,,,,Richard,Johnston,Foo8,Civil Servant,Civil Servant,01/10/19,01/03/21,1,DdaT  
CTF169,Senior Developer,Patrick,Robinson,Patrick Robinson,654321,foo474 @bar.gov.uk,Grade 7,Immigration Technology Portfolio,Architecture,Service Management,Technical,Software Developer,Engineering,Civil Servant,Function10,Liverpool,Cardiff,No,No,,,,Garry,Anderson,Foo9,Civil Servant,Civil Servant,01/10/19,01/03/21,1,DdaT  
CTF160,Developer,Alissa,Smith,Alissa Smith,123459,foo475 @bar.gov.uk,HEO,Police and Public Protection Technology,Policy,Software Engineering Group,Technical,Software Developer,Engineering,Civil Servant,Function11,"Croydon, BWH",Cardiff,No,No,,,,George,Andrews,Foo19,Contractor,Civil Servant,01/02/20,01/03/21,0.5,DdaT  
